profile,step,segment,global_commands,commands,planned_start_sim_s,actual_start_sim_s,actual_end_sim_s,max_residual_deg,effective_tolerance_deg,completion_decision,completion_warning,stop_reason
raw,6,24,33,servo rear_left_hip 2.6,61.07666666661403,63.549999999997034,63.74999999999702,0.39297476701378464,,exact_completion,,
raw,6,25,34,servo rear_left_hip -0.5,61.27666666661385,63.94999999999701,64.0833333333304,0.9785214124048669,,exact_completion,,
raw,6,26,35,servo rear_left_hip -4.8,61.47666666661367,64.28333333333056,64.61666666666416,0.5203513423335835,,exact_completion,,
raw,7,27,36,servo front_left_hip 2.6,68.87666666660694,72.01666666667005,72.08333333333677,0.13160425155023736,,exact_completion,,
raw,7,28,37,servo front_left_hip 10.1,68.89399999994028,72.08333333333677,72.28333333333693,0.7354333102472523,,exact_completion,,
raw,7,29,38,servo front_left_hip 17.5,69.0939999999401,72.48333333333709,72.61666666667053,0.17357708932213,,exact_completion,,
raw,7,30,39,servo front_left_hip 20.6,69.29399999993991,72.81666666667068,72.8833333333374,0.13658604040926647,,exact_completion,,
raw,7,31,40,servo front_left_hip 22.8,69.49399999993973,73.08333333333756,73.216666666671,0.2619577217747917,,exact_completion,,
raw,7,32,41,servo front_left_hip 28.1,69.69399999993955,73.41666666667116,73.5500000000046,0.5262601215848903,,exact_completion,,
raw,8,33,42,wheel all 0.3,72.62733333327022,76.48333333334027,87.0833333333487,0.0,,exact_completion,,
raw,8,34,43,wheel stop,83.22733333326057,87.0833333333487,87.0833333333487,0.0,,exact_completion,,
raw,9,35,44,wheel all 0.3,85.49399999992518,89.35000000001718,114.15000000003691,0.0,,exact_completion,,
raw,9,36,45,wheel stop,110.29399999990262,114.15000000003691,114.15000000003691,0.0,,exact_completion,,
raw,10,37,46;47;48;49;50;51;52;53;54,servo front_left_hip 28.1 | servo front_left_knee -13.4 | servo front_right_hip 10.1 | servo front_right_knee 21.5 | servo rear_left_hip 1.6 | servo rear_left_knee 0 | servo rear_right_hip 0 | servo rear_right_knee 0 | wheel rl -0.72,138.36066666689663,142.21666666670166,144.55000000003287,2.8098164310414386,3.0,contact_residual_accepted,contact_residual_accepted,
raw,10,38,55,wheel stop,139.16066666690682,144.55000000003287,144.55000000003287,0.0,,exact_completion,,
raw,11,39,56,servo front_left_knee -9.2,145.8273333335747,151.21666666669347,151.35000000002668,0.2859699832684388,,exact_completion,,
raw,11,40,57,servo front_left_knee 2.5,145.85533333357472,151.35000000002668,151.5500000000265,0.8082487918965819,,exact_completion,,
raw,11,41,58,servo front_left_knee 4.6,146.0553333335718,151.6833333333597,151.75000000002632,0.6529554068648338,,exact_completion,,
raw,11,42,59,servo front_left_hip 29.1,147.65533333354853,153.35000000002486,153.41666666669147,0.5583625071369838,,exact_completion,,
raw,11,43,60,servo front_left_hip 32.3,147.85533333354562,153.6166666666913,153.6833333333579,0.887893546169078,,exact_completion,,
raw,11,44,61,servo front_left_hip 36.5,148.0553333335427,153.8833333333577,154.01666666669092,0.5792202761226335,,exact_completion,,
raw,11,45,62,servo front_left_hip 37.6,148.2553333335398,154.21666666669074,154.28333333335735,0.4726644607118189,,exact_completion,,
raw,12,46,63,servo rear_left_hip -0.5,152.52200000014437,158.55000000002013,158.68333333335335,0.2261324328204044,,exact_completion,,
raw,12,47,64,servo rear_left_hip -6.9,152.53600000014438,158.68333333335335,158.88333333335316,0.6173700601167305,,exact_completion,,
raw,12,48,65,servo rear_left_hip -7.9,152.73600000014147,159.08333333335298,159.1500000000196,0.2573232893702153,,exact_completion,,
raw,12,49,66,servo rear_left_hip -12.2,154.1360000001211,160.55000000001831,160.75000000001813,0.03790162571471889,,exact_completion,,
raw,12,50,67,servo rear_left_hip -6.9,154.93600000010946,161.5500000000174,161.75000000001722,0.16428746067010636,,exact_completion,,
raw,12,51,68,servo rear_left_hip 0.5,155.13600000010655,161.95000000001704,162.08333333335025,0.05566122979181387,,exact_completion,,
raw,12,52,69,servo rear_left_hip 2.6,155.73600000009782,162.6833333333497,162.7500000000163,0.6931918900002869,,exact_completion,,
raw,12,53,70,servo rear_left_hip 4.8,155.9360000000949,162.95000000001613,163.08333333334934,0.39172343797149,,exact_completion,,
raw,12,54,71,servo rear_left_hip 5.8,156.136000000092,163.28333333334916,163.35000000001577,0.6046578859731504,,exact_completion,,
raw,12,55,72,servo rear_left_hip 6.9,156.3360000000891,163.5500000000156,163.6166666666822,0.5405758955789057,,exact_completion,,
raw,12,56,73,servo rear_left_hip 10.1,156.53600000008618,163.816666666682,163.95000000001522,0.2828405232313713,,exact_completion,,
raw,12,57,74,servo rear_left_hip 13.2,156.73600000008327,164.15000000001504,164.21666666668165,0.7060154524357412,,exact_completion,,
raw,12,58,75,servo rear_left_hip 15.4,156.93600000008036,164.41666666668146,164.48333333334807,0.4144512356743011,,exact_completion,,
raw,12,59,76,servo rear_left_hip 19.6,157.13600000007744,164.6833333333479,164.8166666666811,0.6231888293434729,,exact_completion,,
raw,12,60,77,servo rear_left_hip 21.7,157.33600000007453,165.01666666668092,165.08333333334753,0.4800294888156671,,exact_completion,,
raw,12,61,78,servo rear_left_hip 24.9,157.53600000007162,165.28333333334734,165.41666666668056,0.7177319999747844,,exact_completion,,complete
fast,1,0,1,servo rear_left_hip 5.8,2.8166666666666593,2.8166666666666593,2.949999999999992,0.8831891148005839,,exact_completion,,
fast,1,1,2,servo rear_left_hip 12.2,2.855333333333326,2.949999999999992,3.083333333333325,0.39647586053774475,,exact_completion,,
fast,1,2,3,servo rear_left_hip 13.2,2.8979999999999926,3.083333333333325,3.1499999999999915,0.35692875282462033,,exact_completion,,
fast,2,3,4,servo front_right_hip -2.6,2.9046666666666594,3.1499999999999915,3.216666666666658,0.8060536976497337,,exact_completion,,
fast,2,4,5,servo front_right_hip -15.4,2.9219999999999926,3.216666666666658,3.416666666666657,0.683944955482211,,exact_completion,,
fast,2,5,6,servo front_right_hip 2.6,3.007333333333326,3.416666666666657,3.883333333333322,0.20209759510483405,,exact_completion,,
fast,2,6,7,servo front_right_hip 7.9,3.127333333333326,3.883333333333322,4.016666666666656,0.9678870102650903,,exact_completion,,
fast,2,7,8,servo front_right_hip 12.2,3.1626666666666594,4.016666666666656,4.149999999999996,0.11673488370995422,,exact_completion,,
fast,2,8,9,servo front_right_hip 16.4,3.191333333333326,4.149999999999996,4.283333333333336,0.4365382886586673,,exact_completion,,
fast,2,9,10,servo front_right_hip 20.6,3.219333333333326,4.283333333333336,4.416666666666676,0.5152624828889643,,exact_completion,,
fast,2,10,11,servo front_right_hip 24.9,3.247333333333326,4.416666666666676,4.550000000000016,0.5047903288389328,,exact_completion,,
fast,3,11,12,wheel all 0.3,3.2759999999999927,4.550000000000016,17.949999999999623,0.0,,exact_completion,,
fast,3,12,13,wheel stop,16.675999999987805,17.949999999999623,17.949999999999623,0.0,,exact_completion,,
fast,4,13,14,servo front_right_knee 1.4,16.675999999987805,17.949999999999623,18.016666666666286,0.4243749785425852,,exact_completion,,
fast,4,14,15,servo front_right_knee 20.5,16.68533333332114,18.016666666666286,18.283333333332937,0.17442643745891573,,exact_completion,,
fast,4,15,16,servo front_right_knee 21.5,16.812666666654472,18.283333333332937,18.3499999999996,0.10197124938852653,,exact_completion,,
fast,4,16,17,servo front_right_hip 21.7,16.81933333332114,18.3499999999996,18.483333333332926,0.921735836416147,,exact_completion,,
fast,4,17,18,servo front_right_hip 14.3,16.84066666665447,18.483333333332926,18.61666666666625,0.35674147165704184,,exact_completion,,
fast,4,18,19,servo front_right_hip 12.2,16.889999999987804,18.61666666666625,18.683333333332914,0.7077366384391706,,exact_completion,,
fast,4,19,20,servo front_right_hip 9.0,16.903999999987803,18.683333333332914,18.81666666666624,0.5393628178893444,,exact_completion,,
fast,4,20,21,servo front_right_hip 10.1,16.925333333321134,18.81666666666624,18.883333333332903,0.8154908860504193,,exact_completion,,
fast,5,21,22;23;24;25;26;27;28;29;30,servo front_left_hip 0 | servo front_left_knee -13.4 | servo front_right_hip 10.1 | servo front_right_knee 21.5 | servo rear_left_hip 13.2 | servo rear_left_knee 0 | servo rear_right_hip 0 | servo rear_right_knee 0 | wheel fl -0.68,16.93266666665447,18.883333333332903,19.816666666666183,0.6199547932187689,,exact_completion,,
fast,5,22,31,wheel stop,17.732666666653742,19.816666666666183,19.816666666666183,0.0,,exact_completion,,
fast,6,23,32,servo rear_left_hip 12.2,17.732666666653742,19.816666666666183,19.883333333332846,0.0518782471494017,,exact_completion,,
fast,6,24,33,servo rear_left_hip 2.6,17.73933333332041,19.883333333332846,20.083333333332835,0.250007168297782,,exact_completion,,
fast,6,25,34,servo rear_left_hip -0.5,17.80333333332041,20.083333333332835,20.283333333332823,0.15947894457745732,,exact_completion,,
fast,6,26,35,servo rear_left_hip -4.8,17.823999999987073,20.283333333332823,20.88333333333279,0.8999122115871847,,exact_completion,,
fast,7,27,36,servo front_left_hip 2.6,17.85266666665374,20.88333333333279,20.949999999999452,0.005847115637334088,,exact_completion,,
fast,7,28,37,servo front_left_hip 10.1,17.869999999987073,20.949999999999452,21.14999999999944,0.6544767855623839,,exact_completion,,
fast,7,29,38,servo front_left_hip 17.5,17.919999999987077,21.14999999999944,21.283333333332767,0.2425163273677562,,exact_completion,,
fast,7,30,39,servo front_left_hip 20.6,17.969333333320407,21.283333333332767,21.416666666666092,0.4499513319236996,,exact_completion,,
fast,7,31,40,servo front_left_hip 22.8,17.989999999987077,21.416666666666092,21.483333333332755,0.5673177434712571,,exact_completion,,
fast,7,32,41,servo front_left_hip 28.1,18.00466666665374,21.483333333332755,21.61666666666608,0.04655203051279955,,exact_completion,,
fast,8,33,42,wheel all 0.3,18.039999999987074,21.61666666666608,32.21666666666548,0.0,,exact_completion,,
fast,8,34,43,wheel stop,28.639999999977437,32.21666666666548,32.21666666666548,0.0,,exact_completion,,
fast,9,35,44,wheel all 0.3,28.639999999977437,32.21666666666548,57.01666666666407,0.0,,exact_completion,,
fast,9,36,45,wheel stop,53.43999999995488,57.01666666666408,57.01666666666407,0.0,,exact_completion,,
fast,10,37,46;47;48;49;50;51;52;53;54,servo front_left_hip 28.1 | servo front_left_knee -13.4 | servo front_right_hip 10.1 | servo front_right_knee 21.5 | servo rear_left_hip 1.6 | servo rear_left_knee 0 | servo rear_right_hip 0 | servo rear_right_knee 0 | wheel rl -0.72,53.43999999995488,57.01666666666408,60.349999999997216,2.8973444514815068,3.0,contact_residual_accepted,contact_residual_accepted,
fast,10,38,55,wheel stop,54.239999999965065,60.34999999999722,60.349999999997216,0.0,,exact_completion,,
fast,11,39,56,servo front_left_knee -9.2,54.239999999965065,60.34999999999722,60.48333333333054,0.5705950650402709,,exact_completion,,
fast,11,40,57,servo front_left_knee 2.5,54.26799999996507,60.48333333333055,60.68333333333053,0.8478732805927649,,exact_completion,,
fast,11,41,58,servo front_left_knee 4.6,54.34599999996507,60.68333333333054,60.74999999999719,0.20291339991466106,,exact_completion,,
fast,11,42,59,servo front_left_hip 29.1,54.35999999996507,60.7499999999972,60.816666666663856,0.10113665345735257,,exact_completion,,
fast,11,43,60,servo front_left_hip 32.3,54.366666666631744,60.81666666666386,60.94999999999718,0.3816132242936803,,exact_completion,,
fast,11,44,61,servo front_left_hip 36.5,54.387999999965075,60.94999999999719,61.08333333333051,0.6535019984411079,,exact_completion,,
fast,11,45,62,servo front_left_hip 37.6,54.41599999996507,61.083333333330515,61.14999999999717,0.15699019274675408,,exact_completion,,
fast,12,46,63,servo rear_left_hip -0.5,54.4233333332984,61.14999999999718,61.283333333330496,0.026820355815038333,,exact_completion,,
fast,12,47,64,servo rear_left_hip -6.9,54.43733333329841,61.2833333333305,61.483333333330485,0.6594500018195326,,exact_completion,,
fast,12,48,65,servo rear_left_hip -7.9,54.479999999965074,61.48333333333049,61.54999999999715,0.4427885385454493,,exact_completion,,
fast,12,49,66,servo rear_left_hip -12.2,54.48666666663175,61.549999999997155,61.74999999999714,0.8257818757222601,,exact_completion,,
fast,12,50,67,servo rear_left_hip -6.9,54.515333333298415,61.749999999997144,61.88333333333046,0.9234880396593006,,exact_completion,,
fast,12,51,68,servo rear_left_hip 0.5,54.55066666663174,61.88333333333047,62.01666666666379,0.3407552656729099,,exact_completion,,
fast,12,52,69,servo rear_left_hip 2.6,54.59999999996508,62.016666666663795,62.08333333333045,0.5841308444281084,,exact_completion,,
fast,12,53,70,servo rear_left_hip 4.8,54.61399999996509,62.08333333333046,62.149999999997114,0.2629995584393141,,exact_completion,,
fast,12,54,71,servo rear_left_hip 5.8,54.628666666631744,62.14999999999712,62.21666666666378,0.5234964556131807,,exact_completion,,
fast,12,55,72,servo rear_left_hip 6.9,54.63533333329842,62.216666666663784,62.28333333333044,0.45391117351917476,,exact_completion,,
fast,12,56,73,servo rear_left_hip 10.1,54.642666666631754,62.28333333333045,62.3499999999971,0.8172229143017127,,exact_completion,,
fast,12,57,74,servo rear_left_hip 13.2,54.663999999965085,62.34999999999711,62.48333333333043,0.647231144798667,,exact_completion,,
fast,12,58,75,servo rear_left_hip 15.4,54.68466666663174,62.483333333330435,62.54999999999709,0.36766614740700554,,exact_completion,,
fast,12,59,76,servo rear_left_hip 19.6,54.69933333329841,62.5499999999971,62.68333333333042,0.3088788916651204,,exact_completion,,
fast,12,60,77,servo rear_left_hip 21.7,54.727333333298404,62.683333333330424,62.74999999999708,0.47997238204984427,,exact_completion,,
fast,12,61,78,servo rear_left_hip 24.9,54.741333333298414,62.74999999999709,62.883333333330405,0.6930955076385494,,exact_completion,,complete
